1 , B24dV_uori4, "What causes shampoo to lather best when washing hair?"
2 , BADi9YBwUNc, "Why do the men keep riding their motorcycles through water?"
3 , BDKkVYmWqdM, "What does a bicyclist do before landing his bike on a tennis court?"
4 , BGdwSxRiXzw, "What are the two people doing in this video?"
5 , BLQQH7JQ2cE, "What happens at the end of the video?"
6 , BSVHVuVnlGw, "What is the video mainly about?"
7 , BT1-7xs4k3Y, "What happens after a father takes a bite of his daughters noodles?"
8 , BWAVzDutp1o, "What happens when a motorcyclist is riding down the road?"
9 , BYja7Z0B9Fc, "What happens to a couple sitting in a car kissing?"
10 , Bdyiy2P1WrA, "What was being cooked during the food demonstration?"
11 , BfcR9WtJQBQ, "What goes in the pan after a layer of chocolate?"
12 , BkdaXjkp_h0, "What happens at the end of the video?"
13 , BrGdWP7lia0, "What happens when a man is playing football with a young boy?"
14 , Bu4HZcHWt1w, "What happens when a woman an boy walk in between two  cars?"
15 , BuIc1w-kn-k, "After a having a conversation
16 , BvfrF5nONZk, "What happens after a woman walks up to a man standing in front of his bike?"
17 , BvpGKjFEIDg, "What happens to a field of corn?"
18 , Bvv6lMUTlEw, "Why is the dog being offered a cupcake or cake?"
19 , Bw7GevJP1vA, "What happens after the man shows the food on the coffee table?"
20 , ByuygPDH1Vk, "Why was the duck playing dead?"
21 , C4j3Pp79KSg, "What does a woman riding in a wheelchair do when she reaches the corner?"
22 , C7ADL93Zg4Q, "What does a young woman do in a video game to pac man?"
23 , C7ToN6hcXvQ, "What happens at the end of the video?"
24 , CBxi5FLNouw, "What is the boy trying to figure out?"
25 , CFhqtT9V8yk, "What is going on in the video?"
26 , CH8Dp7EgW4I, "What does the smaller boy do after another boy shoves him?"
27 , CLgCH9T6IwY, "when do we see a figure with a black cape?"
28 , CbRNu0FBRv8, "when does the man scroll the screen  on his phone?"
29 , CcafMpThEeQ, "What happens to the punching bag by the end of the video?"
30 , CgjC6CV-sUs, "What is the video mainly about?"
31 , CjcyaXLB3Ow, "Why did the boy jump up off the sofa and stomp out the room yelling?"
32 , Cl_YhG6ZgNg, "What happened by the end of the video?"
33 , CnhxnPIbwyk, "What happened to the woman by the end of the video?"
34 , CsRoh9YM9pM, "Over time what comparisons are made with couples sleeping together? "
35 , CtinYSH3nVw, "What happens before the man gets into a car?"
36 , D4P4xYRYXIM, "What happened after a man gave a fist bump to three young boys?"
37 , D4Y3c5srV_k, "What happens to one of the guys while two guys are playing basketball?"
38 , D7iryXC-ThU, "What happens by the end of the video?"
39 , DA6QjibIUac, "What happened after the kids ran down the street?"
40 , DC4FE3hI67U, "What is a person doing with a red and white large sign near a car?"
41 , DJ18uzDCB9s, "What lesson does the video try to convey?"
42 , DMd-0BLyGhs, "What does the man do after he puts blueberry juice in a decanter?"
43 , DOm8sdnXqz4, "What happens after the man lays on his girlfriend's stomach?"
44 , DXrUFbDQ0Os, "What are cats doing in the video?"
45 , D_HTq7IiSPo, "Why wasn't the man sitting at the table with the other three people?"
46 , DarD_G6Hz4Q, "What happens by the end of the video?"
47 , Dc4pETr9vGA, "What happens after a man sitting on the floor puts a sock on a woman that has her feet hanging in front of him?"
48 , EEfGBodc_OU, "when does the dog jump?"
49 , EOLgGCKwo4w, "What was found on the side of a mountain in a large hole?"
50 , EXyKi67lE74, "What happens at the end of the video?"
51 , EZTAaKkHKyg, "What unusual condiment is squeezed into a bag of chips then placed on a small plate?"
52 , EgChb22PyHg, "Why is the lady vacuuming her car seats after sitting on it?"
53 , EmOrZ-Q_nDk, "when do we see the mans hand?"
54 , ErY8-ZYQzAI, "What happens when there is a power shortage in a major city and the traffic lights are out?"
55 , EtNOkUJd5w8, "What did the man do before he put little orange balls in the basket?"
56 , Exf6rtBYbHc, "What happens to the watermelon in the refrigerator?"
57 , F3qE951zzqA, "What happens to the third kitten after the first two hop down the stairs?"
58 , F5NMK2TRzyY, "What is a diver demonstrating in a swimming pool?"
59 , FBD7bvFnshE, "What is the video mainly about?"
60 , FIQJYK5nH_E, "What unusual entrance does a young man make to a classroom?"
61 , FKsBrmJ2xSg, "What happens after a man jumps off a diving board into a pool?"
62 , FtXVic8pRCw, "What happens to a boy pretending to get stung by a large black spider?"
63 , Fvd3ry_9NRM, "What happens when an actor googles  actor with eyebrows every six months or so?"
64 , G3GstfkuDIg, "What happens when a boy visits a hotel for the first time?"
65 , G6k-PoDDL0I, "What happens to the man after he poses in front of the camera?"
66 , GC_ZIryUtoc, "What happens after person in a green and black glove dips his hand in water?"
67 , GD9prt9PD8Q, "What happened in the cartoon when one of the characters asks for his five dollars?"
68 , GJq44zrdS5A, "What type of video is this?"
69 , GWCGF1WpMPc, "What does the old woman do after the kid breaks the ball?"
70 , GqcZ_L3yWes, "What is the boy doing to the dog with a wig on sitting in front of him?"
71 , GuxpJ5XyL5Q, "What is the teacher doing in the classroom?"
72 , H18wdPYmAOA, "What happened to the skin after a new laser resurfacing machine was used?"
73 , H9h3o-BKTbM, "Why does the young man have a funny look on his face after seeing a monkey in a crowd of people?"
74 , HALDk0pCfXU, "what does the dog do right after stepping on the smart phone?"
75 , HT9Eo6Si5Mo, "What happens after a tall figure enters a campsite?"
76 , HZHBrAMppd8, "What happens by the end of the video?"
77 , HcvOhX3n784, "What happens by the end of the video?"
78 , HhJRo_1C5iY, "Why is the dog barking and hitting a woman with his paw?"
79 , Hn39NgRMxtY, "Why are some men swinging through the air in a gym?"
80 , Ht0eoZvmPo4, "What happens at the end of the video?"
81 , HvYkXvDkuPc, "What happens at the end of the video?"
82 , IEE2dPefD58, "What does the baby do after staring a woman?"
83 , IgHdataMrsI, "Why is a doctor poking a large stuffed animal sitting next to her in an exam room?"
84 , IluSoQAf7iQ, "Why is a man explaining to write down 5 objections and features?"
85 , J7C_J_BOq7I, "What happens when the basketball player attempts to put the ball in the basket?"
86 , J9nJaxVRB-4, "What is the main idea of the video?"
87 , JOftqIUYn24, "What is the video mainly about?"
88 , JR5t_k9ULcA, "What is the video showing students?"
89 , JTPh-DGS_VA, "what happens after the drones land?"
90 , JZ6D2F4EMvM, "What happens when a green mask is removed from a persons face?"
91 , JdjYxZcSBSY, "What happens after a Chimpanzee chews gum for a while?"
92 , JeqfVPHF0OY, "What does the video demonstrate?"
93 , Jhiyf69UltM, "What happened after the little girl tasted a cookie?"
94 , JjbPGSbFVc8, "What happens at the end of the video?"
95 , JpCP3i6JoNc, "What is the young man doing with a knife in his hand?"
96 , JpTsHQHzptE, "What happens when ladybug passes the two spider men?"
97 , JrYZSj0E9ZQ, "What is a man doing while holding a wasp in between his fingers?"
98 , K6hWwBCEtU0, "What is the video mainly about?"
99 , KEH-1ylCUIs, "When does the girl start laughing?"
100 , KP9pXg3tBDo, "What does the white dog do in the kennel after dancing on two legs?"
101 , KWPkJSVDCNA, "When does the goalie catch the ball?"
102 , K_Dm0u_ksbs, "who salutes first?"
