Q_ID,Video_ID,Rank,Answer,Time (sec),,
BDKkVYmWqdM,BDKkVYmWqdM,1,The bicyclist rides his bike across a tennis net and successfully lands it on the court.,6.1328,,
BDKkVYmWqdM,BDKkVYmWqdM,2,The bicyclist rides his bike across a tennis net placed on a green ramp and successfully lands on the tennis court.,6.1328,,
BDKkVYmWqdM,BDKkVYmWqdM,3,The bicyclist rides his bike across a tennis net and over a green ramp before landing on the court.,6.1328,,
BDKkVYmWqdM,BDKkVYmWqdM,4,The bicyclist rides a bike across a tennis net and lands on a green platform before continuing over the net.,6.1328,,
BDKkVYmWqdM,BDKkVYmWqdM,5,"The bicyclist rides across a tennis net, which is only 2mm thick, and successfully lands his bike on the court.",6.1328,,
BDKkVYmWqdM,BDKkVYmWqdM,6,"The bicyclist rides a bike across a tennis net, which is only 2mm thick.",6.1328,,
BDKkVYmWqdM,BDKkVYmWqdM,7,The bicyclist rides his bike over a tennis net placed on a raised platform before landing on the tennis court.,6.1328,,
BDKkVYmWqdM,BDKkVYmWqdM,8,"The bicyclist rides across a tennis net, which is only 2mm thick, and lands successfully on the court.",6.1328,,
BDKkVYmWqdM,BDKkVYmWqdM,9,The bicyclist jumps over a tennis net.,6.1328,,
BDKkVYmWqdM,BDKkVYmWqdM,10,"The bicyclist rides his bike across a tennis net, which is only 2mm thick, and lands successfully on the court.",6.1328,,
Bdyiy2P1WrA,Bdyiy2P1WrA,1,Sausages and eggs with chopped garlic and chili were being cooked during the food demonstration.,4.1191,,
Bdyiy2P1WrA,Bdyiy2P1WrA,2,"During the food demonstration, sausages and eggs were being cooked in a pan with chopped garlic and red chili peppers.",4.1191,,
Bdyiy2P1WrA,Bdyiy2P1WrA,3,Sausages were being cooked during the food demonstration.,4.1191,,
Bdyiy2P1WrA,Bdyiy2P1WrA,4,"The food demonstration featured sausages being cooked with chopped garlic and chili peppers, and an egg being cracked into the pan.",4.1191,,
Bdyiy2P1WrA,Bdyiy2P1WrA,5,"During the food demonstration, sausages were being cooked in a pan with a mixture of chopped garlic, red chili peppers, and an egg.",4.1191,,
Bdyiy2P1WrA,Bdyiy2P1WrA,6,"During the food demonstration, sausages and eggs were being cooked with saut?ed garlic and red peppers.",4.1191,,
Bdyiy2P1WrA,Bdyiy2P1WrA,7,"During the food demonstration, sausages were being cooked with garlic, red chili peppers, and an egg in a pan.",4.1191,,
Bdyiy2P1WrA,Bdyiy2P1WrA,8,"During the food demonstration, a dish was being prepared that included sausages, an egg, and a mixture of finely chopped garlic and red chili peppers.",4.1191,,
Bdyiy2P1WrA,Bdyiy2P1WrA,9,"During the food demonstration, sausages were being cooked in a pan with garlic and chili peppers.",4.1191,,
Bdyiy2P1WrA,Bdyiy2P1WrA,10,Sausages and an egg were being cooked during the food demonstration.,4.1191,,
BfcR9WtJQBQ,BfcR9WtJQBQ,1,"After a layer of chocolate, a layer of marshmallows is placed in the pan.",3.9636,,
BfcR9WtJQBQ,BfcR9WtJQBQ,2,A layer of marshmallows is added after the chocolate.,3.9636,,
BfcR9WtJQBQ,BfcR9WtJQBQ,3,Colorful marshmallows are placed on top of the chocolate layer in the pan.,3.9636,,
BfcR9WtJQBQ,BfcR9WtJQBQ,4,"After a layer of chocolate, a layer of marshmallows is placed in the pan.",3.9636,,
BfcR9WtJQBQ,BfcR9WtJQBQ,5,"After a layer of chocolate, marshmallows go in the pan.",3.9636,,
BfcR9WtJQBQ,BfcR9WtJQBQ,6,A layer of marshmallows is placed on top of the chocolate.,3.9636,,
BfcR9WtJQBQ,BfcR9WtJQBQ,7,"After a layer of chocolate, a layer of marshmallows is added to the pan.",3.9636,,
BfcR9WtJQBQ,BfcR9WtJQBQ,8,A layer of marshmallows is placed on top of the chocolate.,3.9636,,
BfcR9WtJQBQ,BfcR9WtJQBQ,9,A layer of marshmallows goes in the pan after a layer of chocolate.,3.9636,,
BfcR9WtJQBQ,BfcR9WtJQBQ,10,"After a layer of chocolate, a layer of marshmallows goes in the pan.",3.9636,,
BGdwSxRiXzw,BGdwSxRiXzw,1,"The two people in the video are smiling and laughing, creating a joyful and lighthearted atmosphere.",3.5236,,
BGdwSxRiXzw,BGdwSxRiXzw,2,"The two people in the video appear to be laughing and enjoying themselves, possibly reacting to something humorous.",3.5236,,
BGdwSxRiXzw,BGdwSxRiXzw,3,"The two people in the video are laughing and enjoying themselves, as indicated by their smiles and the laughing emoji.",3.5236,,
BGdwSxRiXzw,BGdwSxRiXzw,4,"The two people in the video are engaged in a conversation or interaction, likely in a humorous or entertaining context, as indicated by the laughing emoji.",3.5236,,
BGdwSxRiXzw,BGdwSxRiXzw,5,"The two people in the video are smiling and laughing, creating a joyful and lighthearted atmosphere.",3.5236,,
BGdwSxRiXzw,BGdwSxRiXzw,6,"The two people in the video are smiling and laughing together, suggesting a moment of shared amusement or enjoyment.",3.5236,,
BGdwSxRiXzw,BGdwSxRiXzw,7,"The two people in the video are laughing together, with one person making a humorous face and the other smiling and holding a drink.",3.5236,,
BGdwSxRiXzw,BGdwSxRiXzw,8,"The two people in the video are engaging in a lighthearted and playful interaction, as indicated by their smiles and the laughing emojis.",3.5236,,
BGdwSxRiXzw,BGdwSxRiXzw,9,"The two people in the video are laughing together, as indicated by their smiles and the laughing emoji.",3.5236,,
BGdwSxRiXzw,BGdwSxRiXzw,10,"The two people in the video are laughing, as indicated by their expressions and the laughing emojis overlaid on the screen.",3.5236,,
BkdaXjkp_h0,BkdaXjkp_h0,1,"The person holding the dress lowers it, revealing the full outfit.",3.7007,,
BkdaXjkp_h0,BkdaXjkp_h0,2,The person holds up a colorful dress with a floral pattern.,3.7007,,
BkdaXjkp_h0,BkdaXjkp_h0,3,The person is holding up a dress with a floral pattern and a lace trim.,3.7007,,
BkdaXjkp_h0,BkdaXjkp_h0,4,The video ends with a shot of a person holding up a green and pink floral dress with lace detailing.,3.7007,,
BkdaXjkp_h0,BkdaXjkp_h0,5,"The video ends with a shot of the dress being held up, showcasing its full design and intricate details.",3.7007,,
BkdaXjkp_h0,BkdaXjkp_h0,6,The video ends with a close-up of the dress's intricate embroidery and a hand gently touching the fabric.,3.7007,,
BkdaXjkp_h0,BkdaXjkp_h0,7,"The video ends with a close-up of the floral embroidery on the dress, highlighting the intricate details and craftsmanship.",3.7007,,
BkdaXjkp_h0,BkdaXjkp_h0,8,The person holding the dress places it back on the table.,3.7007,,
BkdaXjkp_h0,BkdaXjkp_h0,9,"The video concludes with a close-up of the dress, emphasizing the intricate embroidery and floral pattern.",3.7007,,
BkdaXjkp_h0,BkdaXjkp_h0,10,"The video ends with a close-up of the floral dress, highlighting its intricate details and vibrant colors.",3.7007,,
BrGdWP7lia0,BrGdWP7lia0,1,"The man and the young boy engage in a playful football match on a grassy field, showcasing their skills and enjoying the game together.",4.0537,,
BrGdWP7lia0,BrGdWP7lia0,2,The man and the young boy are playing football on a field with a large mural in the background.,4.0537,,
BrGdWP7lia0,BrGdWP7lia0,3,"The man and the young boy are playing football together, and the man is trying to help the boy improve his skills.",4.0537,,
BrGdWP7lia0,BrGdWP7lia0,4,"The man and the young boy are playing football together on a grassy field, with the man demonstrating some football skills and the boy trying to keep up.",4.0537,,
BrGdWP7lia0,BrGdWP7lia0,5,The man and the young boy are playing football together on a grassy field.,4.0537,,
BrGdWP7lia0,BrGdWP7lia0,6,"The man and the young boy play football on a grassy field, with the man demonstrating football skills and engaging in a friendly game with the boy.",4.0537,,
BrGdWP7lia0,BrGdWP7lia0,7,"The man and the young boy are playing football on a grassy field, with the man wearing a Barcelona jersey and the boy in a white shirt and black pants.",4.0537,,
BrGdWP7lia0,BrGdWP7lia0,8,"The man and the young boy are playing football together, enjoying the game and having fun.",4.0537,,
BrGdWP7lia0,BrGdWP7lia0,9,"The man and the young boy play football on a grassy field, with the man guiding the boy and demonstrating football skills.",4.0537,,
BrGdWP7lia0,BrGdWP7lia0,10,The man and the young boy are playing football on a grassy field.,4.0537,,
BSVHVuVnlGw,BSVHVuVnlGw,1,"The video is about dental hygiene, showcasing the use of electric toothbrushes and dental care products.",4.1609,,
BSVHVuVnlGw,BSVHVuVnlGw,2,"The video is about dental hygiene and the use of electric toothbrushes, featuring a dental professional demonstrating proper brushing techniques.",4.1609,,
BSVHVuVnlGw,BSVHVuVnlGw,3,"The video is about dental care, specifically tooth brushing techniques and the use of an electric toothbrush.",4.1609,,
BSVHVuVnlGw,BSVHVuVnlGw,4,"The video is about dental hygiene and the proper use of an electric toothbrush, featuring a dental professional demonstrating the technique.",4.1609,,
BSVHVuVnlGw,BSVHVuVnlGw,5,"The video is mainly about dental hygiene, featuring a demonstration of using an electric toothbrush on a dental model.",4.1609,,
BSVHVuVnlGw,BSVHVuVnlGw,6,The video mainly showcases dental hygiene products and demonstrates their use on a dental model.,4.1609,,
BSVHVuVnlGw,BSVHVuVnlGw,7,"The video mainly showcases dental care and hygiene practices, featuring dental tools and proper brushing techniques.",4.1609,,
BSVHVuVnlGw,BSVHVuVnlGw,8,"The video is about dental hygiene and toothbrush usage, featuring a dental professional demonstrating proper brushing techniques.",4.1609,,
BSVHVuVnlGw,BSVHVuVnlGw,9,"The video is about dental hygiene, specifically the proper use of an electric toothbrush, as demonstrated by Dr. Heba Qotb in a dental clinic setting.",4.1609,,
BSVHVuVnlGw,BSVHVuVnlGw,10,"The video is about dental care and hygiene, featuring a dental professional demonstrating the use of an electric toothbrush and proper brushing techniques.",4.1609,,
Bu4HZcHWt1w,Bu4HZcHWt1w,1,"The video shows a woman and a boy walking in between two cars, which seems to be a tense moment.",3.5867,,
