Q_ID,Video_ID,Rank,Answer,Time (sec)
BDKkVYmWqdM,BDKkVYmWqdM,1,A bicyclist stops and dismounts his bike before landing it on a tennis court.,1.0487
BDKkVYmWqdM,BDKkVYmWqdM,2,A bicyclist would typically dismount and push the bike across the tennis court to avoid damaging the court surface.,1.0487
BDKkVYmWqdM,BDKkVYmWqdM,3,A bicyclist would typically stop or slow down before approaching a tennis court to avoid damaging the court or endangering others.,1.0487
BDKkVYmWqdM,BDKkVYmWqdM,4,A bicyclist typically slows down and checks the surface of the tennis court to ensure it is safe and appropriate for landing.,1.0487
BDKkVYmWqdM,BDKkVYmWqdM,5,A bicyclist slows down and ensures the bike is stable before carefully placing it on the tennis court.,1.0487
BDKkVYmWqdM,BDKkVYmWqdM,6,A bicyclist stops or slows down before approaching the tennis court to avoid damaging the court and to ensure safety.,1.0487
BDKkVYmWqdM,BDKkVYmWqdM,7,A bicyclist slows down and navigates carefully to avoid damaging the tennis court before landing his bike on it.,1.0487
BDKkVYmWqdM,BDKkVYmWqdM,8,A bicyclist would typically dismount the bike and carry it across the court to avoid damaging the court surface.,1.0487
BDKkVYmWqdM,BDKkVYmWqdM,9,A bicyclist typically dismounts and pushes the bike to avoid damage to the court.,1.0487
BDKkVYmWqdM,BDKkVYmWqdM,10,A bicyclist typically slows down and checks the surroundings for obstacles before landing his bike on a tennis court.,1.0487
Bdyiy2P1WrA,Bdyiy2P1WrA,1,"During the food demonstration, a dish involving mushrooms was being prepared.",0.5303
Bdyiy2P1WrA,Bdyiy2P1WrA,2,"The food demonstration featured the preparation of a dish using various ingredients, though the specific dish is not detailed in the image.",0.5303
Bdyiy2P1WrA,Bdyiy2P1WrA,3,The food demonstration featured the preparation of a dish that included potatoes and tomatoes.,0.5303
Bdyiy2P1WrA,Bdyiy2P1WrA,4,A dish was being prepared using a combination of saut?ed vegetables and a creamy sauce.,0.5303
Bdyiy2P1WrA,Bdyiy2P1WrA,5,"The food demonstration featured the cooking of a savory dish that included vegetables and a protein, possibly chicken or fish, garnished with herbs and served with a sauce.",0.5303
Bdyiy2P1WrA,Bdyiy2P1WrA,6,"A dish was being prepared that included frying a piece of food, possibly a meat or vegetable, in a pan with oil.",0.5303
Bdyiy2P1WrA,Bdyiy2P1WrA,7,"A dish was being cooked using a technique that involved a wooden spoon, possibly for stirring or mixing ingredients.",0.5303
Bdyiy2P1WrA,Bdyiy2P1WrA,8,A dish involving saut?ing onions and garlic was being prepared during the food demonstration.,0.5303
Bdyiy2P1WrA,Bdyiy2P1WrA,9,The food demonstration featured the preparation of a dish involving tofu.,0.5303
Bdyiy2P1WrA,Bdyiy2P1WrA,10,The food demonstration featured the cooking of a dish involving a variety of vegetables.,0.5303
BfcR9WtJQBQ,BfcR9WtJQBQ,1,A layer of peanut butter is typically added after a layer of chocolate in a dessert.,0.611
BfcR9WtJQBQ,BfcR9WtJQBQ,2,A layer of caramel sauce is typically added to the pan after a layer of chocolate.,0.611
BfcR9WtJQBQ,BfcR9WtJQBQ,3,A layer of cream cheese goes in the pan after a layer of chocolate in a dessert.,0.611
BfcR9WtJQBQ,BfcR9WtJQBQ,4,A layer of whipped cream typically goes in the pan after a layer of chocolate.,0.611
BfcR9WtJQBQ,BfcR9WtJQBQ,5,"After a layer of chocolate, you would typically add another layer of ingredients such as fruit, nuts, or another type of chocolate, depending on the recipe for a chocolate cake or brownie.",0.611
BfcR9WtJQBQ,BfcR9WtJQBQ,6,"After a layer of chocolate, a layer of cream cheese or whipped cream is typically added in a cake or dessert recipe.",0.611
BfcR9WtJQBQ,BfcR9WtJQBQ,7,"After a layer of chocolate, a layer of whipped cream is typically added before another layer of chocolate in a dessert like a chocolate mousse cake.",0.611
BfcR9WtJQBQ,BfcR9WtJQBQ,8,"After a layer of chocolate, you can add a layer of vanilla ice cream or whipped cream to create a delicious dessert.",0.611
BfcR9WtJQBQ,BfcR9WtJQBQ,9,"After a layer of chocolate, you can add a layer of vanilla ice cream or any other preferred topping to create a delicious chocolate ice cream sandwich.",0.611
BfcR9WtJQBQ,BfcR9WtJQBQ,10,"After a layer of chocolate, you can add a layer of vanilla ice cream in the pan.",0.611
BGdwSxRiXzw,BGdwSxRiXzw,1,"The two people in the video are standing in a kitchen, likely preparing or cooking something, as they are holding and interacting with a pot.",0.5738
BGdwSxRiXzw,BGdwSxRiXzw,2,The two people in the video are holding hands and appear to be engaged in a conversation or activity together.,0.5738
BGdwSxRiXzw,BGdwSxRiXzw,3,"The two people in the video appear to be walking side by side, engaged in conversation or simply enjoying each other's company.",0.5738
BGdwSxRiXzw,BGdwSxRiXzw,4,"The two people in the video are standing close together, possibly in a conversation or a moment of shared attention.",0.5738
BGdwSxRiXzw,BGdwSxRiXzw,5,"The two people in the video are standing side by side, facing the camera, and appear to be engaged in a conversation.",0.5738
